Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00212110,2017-12-31,0.2465206824,0,0.1708347647,0.4202986311
00212110,2018-12-31,0.2267607943,0,0.1311437146,0.4168005185
00212110,2019-12-31,0.3165271984,0,0.3083598895,0.4362858067
00212110,2020-12-31,0.3406714315,0,0.3555387562,0.4420916822
00212110,2021-12-31,0.3370030206,0.1498923134,0.3135511453,0.4294244126
00212110,2022-12-31,0.3798659129,0.1239565722,0.4003648788,0.4452161745
00212110,2023-12-31,0.3903055537,0.1459440531,0.4456652153,0.4111493081
00215F10,2017-12-31,0.2076615951,0.1956521739,0.3741096988,0.1292589398
00215F10,2018-12-31,0.1970145586,0.1918025362,0.3761364899,0.1096940917
00215F10,2019-12-31,0.1877743044,0.1891093288,0.3586679414,0.1020538389
00215F10,2020-12-31,0.3043476627,0.2065471268,0.5438463865,0.222316371
00215F10,2021-12-31,0.2897329254,0.2386820898,0.4449576963,0.2318508106
00215F10,2022-12-31,0.2975679844,0.2200803686,0.497065631,0.2277167782
00215F10,2023-12-31,0.3607377846,0.2526005066,0.5360418658,0.3146663434
00216W10,2022-12-31,0.2022306347,0,0.3121543348,0.1948903157
00216W20,2023-12-31,0.19218489,0,0.3027672956,0.1801099228
00217D10,2022-12-31,0.0584681688,0.0142551675,0.03620142,0.0864720718
00217D10,2023-12-31,0.0520951255,0.0115301465,0.0288824383,0.0791761526
00217Y10,2022-12-31,0.571964579,0.6373574543,0.5729116276,0.5113911475
00217Y10,2023-12-31,0.6116499524,0.6479170094,0.6257600781,0.5676944145
00234P10,2016-12-31,0.3034378654,0.1650889567,0.3056171786,0.4230360155
00234P10,2017-12-31,0.2929989423,0.057199582,0.463678003,0.3450537795
00244410,2009-12-31,0.2924577312,0.3343508344,0.037739071,0.4773109244
00244410,2010-12-31,0.2669538809,0.2836538462,0.0835825856,0.4161797337
00244410,2011-12-31,0.255892535,0.1822742475,0.0836357527,0.5032407407
00244410,2012-12-31,0.2642939986,0.1850613155,0.0696938776,0.5390040993
00244410,2013-12-31,0.2490655751,0.135451505,0.0662913681,0.5541171117
00244410,2014-12-31,0.2645186665,0.1825641026,0.0437052201,0.5666919401
00244410,2015-12-31,0.247306068,0.0802469136,0.0610498366,0.6197058824
00244410,2016-12-31,0.2494650286,0.0404040404,0.0640358362,0.6715036229
00244410,2017-12-31,0.2354054528,0.0343915344,0.038852628,0.6580555316
00244410,2018-12-31,0.2550547129,0.0258215962,0.149060798,0.6279749898
00244410,2019-12-31,0.2541116509,0.0259259259,0.1226364988,0.6492961996
00246W10,2017-12-31,0.1263638665,0,0.3385205542,0.0896850496
00246W10,2018-12-31,0.1328554702,0,0.3545292875,0.0951298623
00246W10,2019-12-31,0.1887892889,0,0.5891969407,0.0834192858
00246W10,2020-12-31,0.139915406,0,0.3980243927,0.0852423759
00246W10,2021-12-31,0.1572024877,0,0.390105973,0.1303779421
00246W10,2022-12-31,0.2022366545,0,0.5567357997,0.134469891
00246W10,2023-12-31,0.2077941707,0,0.5874891147,0.1287990561
00247410,2016-12-31,0.3217706182,0.0489130435,0.7735352673,0.2269384118
